#[1.0.0],,
W Hydrotrope,T (K),S (g/L)
0,278.2,0.632
0,288.2,0.763
0,343.2,7.555
0.05,278.2,1.35
0.05,343.2,11.72
0.1,278.2,1.7
0.1,303.2,3.711
0.2,278.2,2.14
0.2,303.2,6.846
0.3,303.2,10.939
0.3,323.2,16.34
0.3,343.2,41.36
0.4,278.2,6.2
0.4,323.2,35.241
0.4,343.2,78.43
0.5,278.2,10.04
0.5,303.2,25.34
0.5,323.2,47.35
0.6,303.2,36.138
0.6,323.2,51.342
0.7,303.2,50.22
0.7,323.2,68.798
0.7,343.2,143.43
0.8,278.2,39.97
0.8,303.2,66.254
0.8,323.2,84.66
0.8,343.2,152.45
0.9,278.2,43.81
0.9,303.2,69.21
0.9,323.2,94.798
0.9,343.2,160.45
1,278.2,45.29
1,288.2,59.763
1,303.2,72.669
1,323.2,100.222
1,333.2,115.317
1,343.2,137.202
