#1-3-Butanediol,,
W Hydrotrope,T (K),S (g/L)
0,278.2,0.632
0,288.2,0.763
0,303.2,1.462
0,323.2,3.297
0,333.2,4.616
0,343.2,7.555
0.05,278.2,0.723
0.05,303.2,2.058
0.05,323.2,4.676
0.05,343.2,11.021
0.1,278.2,0.954
0.1,303.2,2.896
0.1,323.2,6.956
0.1,343.2,17.194
0.2,278.2,1.671
0.2,303.2,5.355
0.2,323.2,13.81
0.2,343.2,31.335
0.3,278.2,3.237
0.3,303.2,9.363
0.3,323.2,23.12
0.3,343.2,53.04
0.4,278.2,5.87
0.4,303.2,15.589
0.4,323.2,37.592
0.4,343.2,92.366
0.5,278.2,9.916
0.5,303.2,25.028
0.5,323.2,53.23
0.5,343.2,111.782
0.6,278.2,17.923
0.6,303.2,34.881
0.6,323.2,68.265
0.6,343.2,133.779
0.7,278.2,24.73
0.7,303.2,43.344
0.7,323.2,78.73
0.7,343.2,140.85
0.8,278.2,26.481
0.8,303.2,50.644
0.8,323.2,83.949
0.8,343.2,134.116
0.9,278.2,25.572
0.9,303.2,49.354
0.9,323.2,80.47
0.9,343.2,126.148
1,278.2,23.217
1,288.2,31.571
1,303.2,46.997
1,323.2,71.547
1,333.2,81.667
1,343.2,111.221
