#[1.0.0]
W Hydrotrope,T (K),S (g/L)
0.0,278.2,0.632
0.0,288.2,0.763
0.0,303.2,1.462
0.0,323.2,3.297
0.0,333.2,4.616
0.0,343.2,7.555
0.05,278.2,1.350
0.05,303.2,2.918
0.05,323.2,4.570
0.05,343.2,11.720
0.1,278.2,1.700
0.1,303.2,3.711
0.1,323.2,7.010
0.1,343.2,15.420
0.2,278.2,2.140
0.2,303.2,6.846
0.2,323.2,9.550
0.2,343.2,26.720
0.3,278.2,3.920
0.3,303.2,10.939
0.3,323.2,16.340
0.3,343.2,41.360
0.4,278.2,6.20
0.4,303.2,16.678
0.4,323.2,35.241
0.4,343.2,78.430
0.5,278.2,10.040
0.5,303.2,25.340
0.5,323.2,47.350
0.5,343.2,110.320
0.6,278.2,18.170
0.6,303.2,36.138
0.6,323.2,51.342
0.6,343.2,128.840
0.7,278.2,29.620
0.7,303.2,50.220
0.7,323.2,68.798
0.7,343.2,143.430
0.8,278.2,39.970
0.8,303.2,66.254
0.8,323.2,84.660
0.8,343.2,152.450
0.9,278.2,43.810
0.9,303.2,69.210
0.9,323.2,94.798
0.9,343.2,160.450
1.0,278.2,45.290
1.0,288.2,59.763
1.0,303.2,72.669
1.0,323.2,100.222
1.0,333.2,115.317
1.0,343.2,137.202
